gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1146358488	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:56900?seid=1807956	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Yukon-Tanana Uplands, Mile 27 Elliott Hwy., Wickersham Dome area	d9699a79-4736-45c2-925c-f4033ac67d52	65.2	-148.08	3615.0						1965-06-04T01:00Z	4	6	1965	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	56900		Claudia Rector	CC_BY_4_0		Collector(s): Vernon L. Harms			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146351110	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:50169?seid=884763	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Schwatka Mts., Reed Hot Springs, Reed R. valley	d9699a79-4736-45c2-925c-f4033ac67d52	67.25	-155.04	3615.0						2002-08-06T02:00Z	6	8	2002	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	50169		Erin Sigel	CC_BY_4_0		Collector(s): Carolyn L. Parker, Heidi Solstad			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146339289	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:39093?seid=1351641	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Alaska Range, upper W Fork Yentna R. 10 km S of Mt. Dall, S-facing slopes above NE bank of river near upper end of valley	d9699a79-4736-45c2-925c-f4033ac67d52	62.52	-152.41	3615.0						1999-07-27T02:00Z	27	7	1999	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	39093		Erin Sigel	CC_BY_4_0		Collector(s): Carl Roland, Shan Burson			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146333490	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:33787?seid=1160701	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Waring Mts., vic. 3 km W of VABM Slam	d9699a79-4736-45c2-925c-f4033ac67d52	66.96	-159.68	3615.0						2000-06-26T02:00Z	26	6	2000	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	33787		Erin Sigel	CC_BY_4_0		Collector(s): Carolyn L. Parker, Cynthia R. Meyers, Nan Eagleson			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146325806	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:26745?seid=1711560	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Kilbuck-Kuskokwim Mts., Flat	d9699a79-4736-45c2-925c-f4033ac67d52	62.43	-158.0	3615.0						1985-07-13T02:00Z	13	7	1985	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	26745		Claudia Rector	CC_BY_4_0		Collector(s): Carolyn L. Parker			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146325794	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:26744?seid=1290869	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Salcha R. 12 km upstream from mile 323.1 Richardson Hwy.	d9699a79-4736-45c2-925c-f4033ac67d52	64.48	-146.75	3615.0						1990-08-18T02:00Z	18	8	1990	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	26744		Alan R. Batten	CC_BY_4_0		Collector(s): Jason Randall Grant			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146325778	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:26746?seid=1088968	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Kilbuck-Kuskokwim Mts., Flat	d9699a79-4736-45c2-925c-f4033ac67d52	62.43	-158.0	3615.0						1985-07-19T02:00Z	19	7	1985	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	26746		Alan R. Batten	CC_BY_4_0		Collector(s): Carolyn L. Parker			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146322927	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:251921?seid=2438760	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Goodpaster River valley	d9699a79-4736-45c2-925c-f4033ac67d52	64.42827799926627	-144.428278							2014-07-15T02:00Z	15	7	2014	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	251921		Jeffrey D. Mason	CC_BY_4_0		Collector(s): Jeffrey D. Mason			2017-06-04T03:56Z		COORDINATE_REPROJECTED;COORDINATE_ROUNDED
1146320294	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:249553?seid=2033752	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Middle Noatak Valley. Tundra south of Noatak River about midway between mouths of Kugururok and Nimiuktuk Rivers.	d9699a79-4736-45c2-925c-f4033ac67d52	67.9	-160.8	1.0		450.0	0.0			1963-07-03T01:00Z	3	7	1963	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	249553		Stanwyn G. Shetler	CC_BY_4_0		Collector(s): Stanwyn G. Shetler, Elaine R. Shetler			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1146303471	5c1fdaf6-4a18-4c5d-a84b-a4ba41f077c9	http://arctos.database.museum/guid/UAM:Herb:21855?seid=1162301	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium sibiricum		SPECIES	Polypodium sibiricum Siplivinsky	US	Salcha R. 12 km upstream from mile 323.1 Richardson Hwy.	d9699a79-4736-45c2-925c-f4033ac67d52	64.48	-146.75	3615.0						1988-09-04T02:00Z	4	9	1988	5274947	5274947	PRESERVED_SPECIMEN	UAM	Plant specimens (ALA)	21855		Alan R. Batten	CC_BY_4_0		Collector(s): Jason Randall Grant			2017-11-06T09:01Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
