gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1097941913	d415c253-4d61-4459-9d25-4015b9084fb0	a877b468-faa9-45a4-9c8b-341859c84e3b	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	11 miles north of Sedona, at Sterling Spring above the fish hatchery.	ae447c50-b8a8-11d8-92a4-b8a03c50a862	35.02469	-111.74161			1768.0				2012-06-12T02:00Z	12	6	2012	5274964	5274964	PRESERVED_SPECIMEN	NY		1795657	657		CC0_1_0	The New York Botanical Garden	D. C. Thornburg			2017-02-19T14:41Z		GEODETIC_DATUM_ASSUMED_WGS84
1096310025	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S-P-6831	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	California. Southern California, Santa Monica Mountains, Topango Canyon	4c415e40-1e21-11de-9e40-a0d6ecebb8bf									1929-03-30T01:00Z	30	3	1929	5274964	5274964	PRESERVED_SPECIMEN	S	VascularPlants	S-P-6831			CC0_1_0		Carl Epling & Lincoln Ellison			2017-02-19T14:41Z		
1096310009	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S-P-6830	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Wash., Mt. Ranier, alt. 5500 ft.	4c415e40-1e21-11de-9e40-a0d6ecebb8bf									1901-08-24T01:00Z	24	8	1901	5274964	5274964	PRESERVED_SPECIMEN	S	VascularPlants	S-P-6830			CC0_1_0		Robert C. Banes			2017-02-19T14:41Z		
1096301655	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S-P-16071	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Alaska. Big Delta	4c415e40-1e21-11de-9e40-a0d6ecebb8bf													5274964	5274964	PRESERVED_SPECIMEN	S	VascularPlants	S-P-16071	9437		CC0_1_0		W. Benninghoff			2017-02-19T14:41Z		
1096301651	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S-P-16070	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Alaska. Big Delta	4c415e40-1e21-11de-9e40-a0d6ecebb8bf													5274964	5274964	PRESERVED_SPECIMEN	S	VascularPlants	S-P-16070	9437		CC0_1_0		W. Benninghoff			2017-02-19T14:41Z		
1065594098	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1185883	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.72108	-121.5766							2014-05-18T02:00Z	18	5	2014	5274964	5274964	HUMAN_OBSERVATION	iNaturalist	Observations	1185883			CC_BY_NC_4_0	Susan	Susan			2017-07-05T10:28Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84
1054236061	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K001044262	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			061b4f20-f241-11da-a328-b8a03c50a862													5274964	5274964	PRESERVED_SPECIMEN	K	Herbarium	K001044262	422		CC_BY_4_0		Richardson, J.			2017-09-19T11:11Z	STILLIMAGE	
1054236047	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K001044263	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			061b4f20-f241-11da-a328-b8a03c50a862													5274964	5274964	PRESERVED_SPECIMEN	K	Herbarium	K001044263	s.n.	Lang, F.A.	CC_BY_4_0		Mall			2017-09-19T11:11Z	STILLIMAGE	RECORDED_DATE_INVALID
1046605256	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	098d3be9-fadf-420c-a638-75b03211482e	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	San Bernardino National Forest; southwest section of Big Bear Lake, near the head of Kidd Creek.	fb702600-a84e-11de-978d-b8a03c50a862	34.23194999912209	-116.97755000000002							2013-06-18T02:00Z	18	6	2013	5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA817151	5166		CC_BY_NC_4_0		Duncan S. Bell, Caitlin Elam			2017-10-29T01:54Z		COORDINATE_REPROJECTED
1041357842	4e22dd77-6ba1-4256-a692-64fecdf38ea7	b928d495-0db1-4e4f-b5f8-5781e3c0a831	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Weminuche Wilderness, San Juan National Forest, near trail along Vallecito Creek 2 mi N of Vallecito Campground	36488347-eceb-40ed-b687-406f3601d8cb	37.489167	-107.53831	5000.0		2438.0				1986-07-30T02:00Z	30	7	1986	5274964	5274964	PRESERVED_SPECIMEN	DBG	KHD	KHD00006781	86-276		CC0_1_0		James D. Montgomery			2017-08-04T18:02Z		GEODETIC_DATUM_ASSUMED_WGS84
1041356619	4e22dd77-6ba1-4256-a692-64fecdf38ea7	aeb76053-1002-46b3-891b-6bd493d8c86e	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Uncompahgre National Forest, Slope south of jeep trail to Engineer Mtn., 1/4 mi E of US Rt 550, 4 mi S of Ouray	36488347-eceb-40ed-b687-406f3601d8cb	37.985632	-107.646942	5000.0						1987-07-29T02:00Z	29	7	1987	5274964	5274964	PRESERVED_SPECIMEN	DBG	KHD	KHD00006782	87-46		CC0_1_0		Peter Root			2017-08-04T18:02Z		GEODETIC_DATUM_ASSUMED_WGS84
1022569179	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	aa091e05-9394-466e-acba-cf7e5a1d84d7	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Vivian Creek, San Bernardino Mountains	fb702600-a84e-11de-978d-b8a03c50a862	34.088089999123824	-116.88390000000001	400.0						1923-08-22T01:00Z	22	8	1923	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM17195	7624		CC_BY_NC_4_0		P. A. Munz			2017-10-29T02:02Z		COORDINATE_REPROJECTED
1022542689	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	360bbad0-1ff8-4d2d-add4-456c6fbf8799	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	North-facing crevices, Bluff Lake, San Bernardino Mountains	fb702600-a84e-11de-978d-b8a03c50a862	34.22029999912223	-116.96905000000001	400.0						1924-06-01T01:00Z	1	6	1924	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM49006	8162		CC_BY_NC_4_0		P. A. Munz			2017-10-29T01:57Z		COORDINATE_REPROJECTED
1022493145	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	dbb776fb-9d2e-4e59-94b1-3030f50a7065	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	South bank of Kings river above Trimmer Springs, nearly opposite mouth of Sycamore Creek and 1/4 mile up stream from Forest Service suspension bridge., This is the place where a 30-40&iacute; rock stands above the road.	fb702600-a84e-11de-978d-b8a03c50a862									1953-02-01T01:00Z	1	2	1953	5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA120495	1642		CC_BY_NC_4_0		Chas H. Quibell			2017-10-29T02:04Z		
1022348356	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	a3c42e9f-6e44-4d63-955e-412c6c4aa1f4	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Bluff Lake, San Bernardino Mountains	fb702600-a84e-11de-978d-b8a03c50a862	34.22029999912223	-116.96905000000001	1600.0						1924-07-05T01:00Z	5	7	1924	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM48428	s.n.		CC_BY_NC_4_0		I. M. Johnston			2017-10-29T02:02Z		COORDINATE_REPROJECTED
1022194695	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	b959ff70-de79-431d-ab3f-319e5736c923	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Long Valley, San Jacinto Mountains	fb702600-a84e-11de-978d-b8a03c50a862	33.810819999127254	-116.65162	400.0						1923-06-28T01:00Z	28	6	1923	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM20514	s.n.		CC_BY_NC_4_0		E. C. Jaeger			2017-10-29T02:03Z		COORDINATE_REPROJECTED
1022135523	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	92e64a74-786c-4f58-bb1e-f19cdceb87cb	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	S of Mission Creek near PCT	fb702600-a84e-11de-978d-b8a03c50a862	34.127609999123344	-116.74911999999999	400.0						2009-07-28T02:00Z	28	7	2009	5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA753128	60 -2009		CC_BY_NC_4_0		Bart O&iacute;Brien, Genevieve Arnold, Erika Gardner			2017-10-29T02:01Z		COORDINATE_REPROJECTED
1021904379	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	82979305-c59d-4204-a705-bf9fd201739f	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Vivian Creek, San Bernardino Mountains	fb702600-a84e-11de-978d-b8a03c50a862	34.088089999123824	-116.88390000000001	400.0						1923-08-22T01:00Z	22	8	1923	5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA85020	3984		CC_BY_NC_4_0		F. W. Peirson			2017-10-29T02:00Z		COORDINATE_REPROJECTED
1021750582	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	9155f7d2-ef19-404f-9120-b2ed63505f07	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	N. Side Tahquitz Peak. San Jacinto Mts.	fb702600-a84e-11de-978d-b8a03c50a862	33.75778999912791	-116.67725999999999	1600.0										5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA689956	98		CC_BY_NC_4_0		Robert Kessler			2017-10-29T02:01Z		RECORDED_DATE_INVALID;COORDINATE_REPROJECTED
1021710934	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	5c5f742d-febf-49c2-9624-5ca56ae253f6	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	White Mountains, Fishlake Valley drainage: West wall of Tres Plumas Creek 1.5 mi. N 25 degrees E of McCloud Camp	fb702600-a84e-11de-978d-b8a03c50a862									1984-07-04T02:00Z	4	7	1984	5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA327749	2274 f		CC_BY_NC_4_0		James D. Morefield			2017-10-29T01:58Z		
1021686062	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	bb248c02-ddf4-4c65-a551-e9b992aeb84b	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	San Jacinto Mountain, W summit of Devil\'s Slide Trail	fb702600-a84e-11de-978d-b8a03c50a862	33.77415999912771	-116.67563	400.0						1996-08-28T02:00Z	28	8	1996	5274964	5274964	PRESERVED_SPECIMEN	RSA	VascularPlants	RSA599400	96 -159		CC_BY_NC_4_0		R. E. Riefner, C. Jones			2017-10-29T02:03Z		COORDINATE_REPROJECTED
1021071961	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	6c43f295-121a-4f49-88e4-5c9479c62c38	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	North side of rocks, Dark Canyon, San Jacinto Mountains	fb702600-a84e-11de-978d-b8a03c50a862	33.81198999912724	-116.71414	400.0						1924-07-27T01:00Z	27	7	1924	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM48373	8778		CC_BY_NC_4_0		P. A. Munz, I. M. Johnston			2017-10-29T01:59Z		COORDINATE_REPROJECTED
1021014397	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	7a73f6f6-2f84-41d9-8e14-ed3643212771	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Emigrant Gap.	fb702600-a84e-11de-978d-b8a03c50a862	39.300494	-120.672327	1693.0						1882-07-01T01:00Z	1	7	1882	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM120374	s.n.		CC_BY_NC_4_0		Marcus E. Jones			2017-10-29T02:00Z		
1020851152	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	10c15a4c-53fb-4432-837b-008ed9e9f520	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon	US	Tahquitz Creek below Tahquitz Valley, San Jacinto Mountains	fb702600-a84e-11de-978d-b8a03c50a862	33.77264999912773	-116.64975000000001	1600.0						1931-09-08T01:00Z	8	9	1931	5274964	5274964	PRESERVED_SPECIMEN	POM	VascularPlants	POM180176	s.n.		CC_BY_NC_4_0		E. L. Peterson			2017-10-29T01:55Z		COORDINATE_REPROJECTED
931089452	68829f71-56b1-4015-a363-ef8f0e1d6e4f	57671	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			296fe5cf-ae43-4212-8f77-293e807d0d5a													5274964	5274964	PRESERVED_SPECIMEN	Biodiversity Institute of Ontario	OAC	73960			CC0_1_0	University of Guelph	D.M. Britton			2017-02-19T14:41Z	STILLIMAGE	
931088776	68829f71-56b1-4015-a363-ef8f0e1d6e4f	56956	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			296fe5cf-ae43-4212-8f77-293e807d0d5a													5274964	5274964	PRESERVED_SPECIMEN	Biodiversity Institute of Ontario	OAC	73167			CC0_1_0	University of Guelph	"""D.M. Britton, A. Anderson, A. & O. Ceska"""			2017-02-19T14:41Z	STILLIMAGE	
931080980	68829f71-56b1-4015-a363-ef8f0e1d6e4f	49134	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			296fe5cf-ae43-4212-8f77-293e807d0d5a													5274964	5274964	PRESERVED_SPECIMEN	Biodiversity Institute of Ontario	OAC	63689			CC0_1_0	University of Guelph	J.A. Calder & K.T. MacKay			2017-02-19T14:41Z	STILLIMAGE	
931080955	68829f71-56b1-4015-a363-ef8f0e1d6e4f	49133	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			296fe5cf-ae43-4212-8f77-293e807d0d5a													5274964	5274964	PRESERVED_SPECIMEN	Biodiversity Institute of Ontario	OAC	63688			CC0_1_0	University of Guelph	J.A. Calder & K.T. MacKay			2017-02-19T14:41Z	STILLIMAGE	
931062704	68829f71-56b1-4015-a363-ef8f0e1d6e4f	30826	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			296fe5cf-ae43-4212-8f77-293e807d0d5a													5274964	5274964	PRESERVED_SPECIMEN	Biodiversity Institute of Ontario	OAC	39852			CC0_1_0	University of Guelph	D.M. Britton			2017-02-19T14:41Z	STILLIMAGE	
931062687	68829f71-56b1-4015-a363-ef8f0e1d6e4f	30823	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium hesperium		SPECIES	Polypodium hesperium Maxon			296fe5cf-ae43-4212-8f77-293e807d0d5a													5274964	5274964	PRESERVED_SPECIMEN	Biodiversity Institute of Ontario	OAC	39849			CC0_1_0	University of Guelph	D.M. Britton			2017-02-19T14:41Z	STILLIMAGE	
