gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1663174447	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR235583&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Mountains Foothills, Forebay Road north of Pollock Pines, at the south side of the bridge over the South Fork American River	fb702600-a84e-11de-978d-b8a03c50a862	38.79306	-120.62667							2012-05-03T02:00Z	3	5	2012	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR235583	18900		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663159615	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR217147&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Sierra Nevada Mountains Foothills, Happy Valley Road, 1.1 mi. NE (69 deg. ) of Somerset, just west of the bridge over the Cosumnes River	fb702600-a84e-11de-978d-b8a03c50a862	38.65361	-120.66611							2010-05-14T02:00Z	14	5	2010	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR217147	16039		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663151506	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR207867&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Sierra Nevada Mountains Foothills, hiking trail starting north of CA-49, 3.5 miles north of CA-50 in Placerville	fb702600-a84e-11de-978d-b8a03c50a862	38.76333	-120.85278							2009-05-14T02:00Z	14	5	2009	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR207867	14695		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663150528	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR206573&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Mtns. Foothills, Rock Creek Road, 1.4 miles northeast of its junction with CA-193	fb702600-a84e-11de-978d-b8a03c50a862	38.77111	-120.80139							2009-01-28T01:00Z	28	1	2009	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR206573	14312		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663141126	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR194919&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Mountains Foothills, 0.7 mile down a hiking trail northeast of CA-49; trail starting 3.5 miles northwest of Placerville	fb702600-a84e-11de-978d-b8a03c50a862	38.76278	-120.83972							2007-05-27T02:00Z	27	5	2007	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR194919	12167		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663126250	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR173923&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada foothills, Rock Creek Road at Dark Canyon, 1.4 miles east of the junction with Calif. Hwy 193	fb702600-a84e-11de-978d-b8a03c50a862	38.77389	-120.79917							2006-06-04T02:00Z	4	6	2006	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR173923	10620		CC_BY_NC_4_0		George K. Helmkamp, Elizabeth A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663126056	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR173747&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Foothills, Along Calif. Hwy 193, 0.4 mi. south of Kelsey	fb702600-a84e-11de-978d-b8a03c50a862	38.78139	-120.81861							2006-05-20T02:00Z	20	5	2006	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR173747	10495		CC_BY_NC_4_0		George K. Helmkamp, Elizabeth Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663125607	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR173255&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Foothills, c. 4 air mi. NE of Auburn, along an unnamed road to Lake Clementine, 1.2 mi. N of Forest Hill Road	fb702600-a84e-11de-978d-b8a03c50a862	38.93528	-121.01583							2006-05-13T02:00Z	13	5	2006	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR173255	10450		CC_BY_NC_4_0		George K. Helmkamp, Elizabeth Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663124637	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR171188&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Northern Sierra Nevada Foothills, ENE of Sacramento; Rock Creek Road at Jaybird Creek, 5.1 mi east of Calif. Highway 193 (generally ENE of Chili Bar)	fb702600-a84e-11de-978d-b8a03c50a862	38.78833	-120.76556							2006-03-26T01:00Z	26	3	2006	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR171188	10115		CC_BY_NC_4_0		George K. Helmkamp, E. A. Helmkamp			2017-10-29T02:14Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
1663091885	4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?UCR121909&related=yes	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Polypodium	Polypodium calirhiza		SPECIES	Polypodium calirhiza S.A. Whitmore & A. R. Smith	US	Central Coast, Los Padres National Forest. Nacimiento-Ferguson Rd., 0.7 mi east of CA Hwy 1, c. 12 mi north of Gorda	fb702600-a84e-11de-978d-b8a03c50a862	35.98639	-121.485							2000-04-21T02:00Z	21	4	2000	5274945	5274945	PRESERVED_SPECIMEN	UCR	VascularPlants	UCR121909	5437		CC_BY_NC_4_0		George K. Helmkamp, Elizabeth Helmkamp			2017-10-29T02:13Z		COORDINATE_UNCERTAINTY_METERS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID
